post,pre
7,8
8,3
3,4
4,50
50,4
4,3
3,9
9,4
4,6
6,19
19,13
13,12
12,11
11,4
4,3
3,5
5,18
18,7
7,8
8,12
12,5
5,10
10,10
10,10
10,3
3,4
4,388
388,12
12,2832
2832,1190
1190,4
4,1239
1239,6
6,3
3,9
9,10
10,12
12,10
10,6958
6958,5
5,23
23,151
151,15
15,47
47,1327
1327,7
7,32
32,15
15,16
16,15
15,25
25,29
29,16
16,1480
1480,4
4,22
22,3
3,5
5,8
8,3
3,9084
9084,1010
1010,9
9,7
7,3
3,4
4,2
2,5
5,5
5,6
6,13
13,4
4,6
6,6
6,11
11,5
5,36
36,4
4,409
409,285
285,1824
1824,10
10,6
6,8
8,4
4,4
4,30
30,11
11,4
4,9
9,4
4,12
12,4
4,8
8,4
4,2
2,5
5,1773
1773,3
3,4
4,5
5,11
11,3
3,970
970,8
8,12
12,2
2,4
4,2269
2269,18
18,519
519,19
19,4
4,164
164,7
7,55
55,9
9,13
13,15
15,5
5,9
9,12
12,4
4,24
24,10
10,6
6,3
3,381
381,219
219,0
0,4
4,8
8,15
15,471
471,5
5,4
4,10
10,14
14,131
131,320
320,4
4,5
5,4
4,4
4,4
4,5
5,4
4,13
13,4
4,668
668,12
12,5
5,5
5,5
5,7
7,4
4,2041
2041,10
10,32
32,353
353,710
710,8
8,11
11,7
7,22
22,71
71,14
14,141
141,7
7,10
10,6
6,6
6,2
2,6
6,23
23,10
10,10
10,201
201,4
4,3
3,17
17,18
18,9
9,7
7,21
21,20
20,8
8,4
4,9
9,4
4,45
45,14
14,66
66,16
16,483
483,92
92,13
13,268
268,55
55,1
1,13
13,1
1,12
12,11
11,7
7,3
3,2
2,9
9,13
13,11
11,2
2,5
5,8
8,4
4,3
3,8
8,11
11,8
8,12
12,3
3,4
4,8
8,4
4,4
4,3
3,7
7,192
192,6
6,54
54,30
30,42
42,4
4,6
6,6
6,19
19,9
9,29
29,499
499,4
4,8
8,20
20,10
10,45
45,240
240,7
7,2
2,3
3,3
3,4
4,4
4,3
3,2
2,4
4,4
4,24
24,485
485,50
50,4
4,557
557,17
17,3
3,3
3,6
6,5
5,6
6,12
12,11
11,85
85,240
240,116
116,8
8,21
21,4
4,8
8,4
4,4
4,5
5,5
5,4
4,13
13,12
12,5
5,4
4,1089
1089,4
4,4
4,5
5,4
4,4
4,11
11,4
4,14
14,17
17,4
4,6
6,14
14,4
4,4
4,27
27,373
373,21
21,4
4,4
4,2
2,4
4,4
4,3
3,18
18,4
4,4
4,521
521,9
9,83
83,7
7,55
55,7
7,3
3,7
7,16
16,4
4,4
4,12
12,3
3,5
5,10
10,4
4,12
12,4
4,8
8,5
5,23
23,9
9,3
3,4
4,11
11,11
11,4
4,1124
1124,14
14,3
3,3
3,43
43,4
4,10
10,5
5,4
4,13
13,9
9,9
9,3
3,6
6,7
7,5
5,5
5,1
1,5
5,314
314,12
12,3
3,13
13,4
4,4
4,3
3,4
4,19
19,31
31,5
5,18
18,18
18,5
5,5
5,8
8,31
31,4
4,8
8,9
9,5
5,4
4,29
29,22
22,8
8,9
9,21
21,1017
1017,10
10,6
6,4
4,117
117,3
3,117
117,5
5,24
24,6
6,7
7,13
13,5
5,37
37,267
267,11
11,32
32,12
12,535
535,42
42,8
8,10
10,14
14,282
282,4
4,30
30,90
90,17
17,4
4,11
11,1529
1529,5
5,35
35,7
7,8
8,783
783,14
14,6
6,26
26,14
14,27
27,39
39,136
136,6
6,6
6,9
9,3
3,7
7,3
3,4
4,24
24,33
33,12
12,15
15,9
9,111
111,9
9,4
4,5
5,9
9,15
15,112
112,28
28,80
80,4
4,69
69,4
4,84
84,28
28,26
26,26
26,560
560,202
202,8
8,11
11,2
2,4
4,19
19,7
7,5
5,15
15,5
5,8
8,20
20,37
37,223
223,10
10,16
16,11
11,4
4,525
525,5
5,4
4,3
3,3
3,3
3,2
2,6
6,7
7,4
4,4
4,4
4,5
5,2
2,5
5,7
7,9
9,9
9,2
2,5
5,9
9,4
4,7
7,3
3,110
110,10
10,6
6,8
8,4
4,4
4,2
2,6
6,4
4,10
10,12
12,9
9,389
389,1273
1273,7
7,3
3,16
16,18
18,3
3,3
3,3
3,4
4,17
17,4
4,4
4,4
4,4
4,5
5,22
22,5
5,170
170,9
9,4
4,134
134,4
4,5
5,8
8,13
13,13
13,7
7,33
33,5
5,6
6,4
4,350
350,4
4,8
8,4
4,4
4,9
9,2
2,11
11,4
4,3
3,7
7,4
4,3
3,11
11,4
4,4
4,9
9,5
5,13
13,11
11,9
9,13
13,50
50,8
8,4
4,28
28,17
17,30
30,9
9,17
17,4
4,38
38,9
9,7
7,25
25,22
22,7
7,4
4,3
3,9
9,3
3,15
15,3
3,10
10,8
8,21
21,19
19,8
8,6
6,4
4,7
7,4
4,20
20,13
13,12
12,3
3,74
74,35
35,17
17,14
14,4
4,8
8,4
4,10
10,14
14,3
3,4
4,4
4,8
8,4
4,2
2,6
6,30
30,31
31,607
607,8
8,15
15,34
34,4
4,31
31,5
5,10
10,8
8,5
5,5
5,29
29,6
6,3
3,5
5,3
3,20
20,3
3,4
4,6
6,214
214,4
4,16
16,4
4,4
4,2
2,6
6,14
14,5
5,9
9,1099
1099,10
10,8
8,26
26,10
10,4
4,6
6,5
5,8
8,14
14,11
11,23
23,3
3,1373
1373,5
5,15
15,5
5,2901
2901,51
51,2841
2841,8
8,19
19,26
26,11
11,2
2,3
3,4
4,36
36,4
4,3
3,5
5,28
28,3
3,4
4,2
2,3
3,5
5,2
2,11
11,216
216,135
135,2378
2378,1120
1120,38
38,10
10,3
3,8
8,6
6,6
6,8
8,18
18,7
7,6
6,7
7,17
17,4
4,4
4,5
5,5
5,22
22,51
51,47
47,16
16,1172
1172,4
4,9
9,7
7,5
5,13
13,74
74,15
15,106
106,554
554,1425
1425,10
10,5
5,2128
2128,2
2,12
12,3
3,6
6,7
7,4
4,9
9,4
4,4
4,8
8,7
7,9
9,1620
1620,8
8,5
5,4
4,3
3,4
4,4
4,3
3,2
2,4
4,5
5,5
5,5
5,9
9,2
2,2
2,5
5,5
5,3
3,6
6,5
5,5
5,4
4,4
4,5
5,8
8,4
4,3
3,5
5,4
4,4
4,4
4,4
4,4
4,2724
2724,91
91,119
119,266
266,1
1,5
5,6
6,929
929,1362
1362,5
5,4
4,13
