post,pre
901,4
4,6
6,10
10,4
4,6
6,2
2,1294
1294,5
5,4
4,5
5,4
4,7
7,4
4,6
6,4
4,7
7,5
5,3
3,5
5,6
6,4
4,6
6,3
3,6
6,4
4,1391
1391,3
3,15
15,4
4,3
3,5
5,8
8,4
4,2
2,3
3,4
4,4
4,4
4,5
5,6
6,7
7,3
3,6
6,3
3,3124
3124,4
4,5
5,3
3,2875
2875,4
4,4
4,4
4,4
4,5
5,4
4,1170
1170,10
10,6
6,3
3,3
3,4
4,8
8,3
3,29
29,6
6,6
6,2
2,4
4,7
7,4
4,4
4,7
7,3
3,5
5,80
80,1161
1161,4
4,3
3,3
3,2
2,8
8,4
4,3
3,3
3,5
5,2
2,848
848,3
3,445
445,2
2,4
4,4
4,7
7,11
11,4
4,5
5,3
3,3
3,6
6,5
5,7
7,4
4,5
5,5045
5045,7
7,10
10,5
5,5
5,4
4,2
2,892
892,4
4,6
6,5
5,5
5,7
7,4
4,5
5,4
4,4
4,3
3,4
4,3
3,4
4,3
3,30
30,5
5,2
2,4
4,3
3,6
6,6
6,4
4,4
4,5
5,1319
1319,6
6,13
13,4
4,5
5,6
6,4
4,7
7,5
5,19
19,5
5,5
5,1571
1571,6
6,4
4,402
402,6
6,6
6,3
3,765
765,5
5,4
4,3
3,4
4,4
4,4
4,3
3,3
3,4
4,6
6,6
6,3
3,4
4,6
6,4
4,29
29,3
3,5
5,5
5,2
2,4
4,469
469,5
5,5
5,4
4,6
6,2
2,2
2,3
3,2
2,4
4,6
6,3
3,1397
1397,2
2,3
3,3
3,622
622,5
5,6
6,6
6,5
5,5
5,4
4,6
6,8
8,4
4,5
5,3
3,3
3,5
5,660
660,5
5,4
4,5
5,4
4,5
5,4
4,5
5,4
4,5
5,5
5,4
4,5
5,4
4,5
5,4
4,5
5,4
4,5
5,5
5,4
4,579
579,5
5,4
4,5
5,4
4,5
5,4
4,5
5,5
5,4
4,5
5,4
4,5
5,4
4,5
5,4
4,5
5,4
4,5
5,5
5,4
4,5
5,4
4,5
5,4
4,5
5,6
6,4
4,5
5,1550
1550,3
3,2
2,2
2,2
2,3
3,2
2,2
2,3
3,1
1,2
2,4
4,4
4,4
4,3
3,3
3,5
5,3
3,2
2,5
5,1
1,2
2,3
3,2
2,5
5,1476
1476,11
11,10
10,20
20,4
4,3
3,2769
2769,5
5,17
17,6
6,5
5,4
4,4
4,4
4,7
7,3
3,3
3,4
4,6
6,4
4,2772
2772,4
4,3
3,6
6,4
4,5
5,3
3,6
6,4
4,6
6,5
5,4
4,4
4,18
18,8
8,6
6,2
2,7
7,7
7,10
10,5
5,5
5,2
2,3
3,3
3,6
6,2202
2202,3
3,412
412,9
9,188
188,4
4,5
5,5
5,5
5,4
4,4
4,6
6,3
3,5
5,226
226,10
10,3
3,1301
1301,4
4,5
5,4
4,4
4,7
7,336
336,7
7,9
9,5
5,41
41,800
800,102
102,4
4,6
6,7
7,5
5,6
6,5
5,7
7,5
5,5
5,5
5,4
4,1378
1378,4
4,5
5,5
5,4
4,4
4,26
26,3
3,5
5,4
4,5
5,5
5,5
5,4
4,4
4,6
6,6
6,4
4,4
4,1012
1012,6
6,5
5,4
4,3
3,5
5,6
6,5
5,4
4,3
3,6
6,3
3,4
4,4
4,6
6,4
4,5
5,163
163,4
4,4
4,7
7,4
4,3
3,5
5,4
4,4
4,4
4,5
5,5
5,5
5,4
4,4
4,5
5,505
505,7
7,2535
2535,5
5,4
4,983
983,6
6,5
5,6
6,4
4,7
7,5
5,4
4,3
3,4
4,5
5,5
5,4
4,4
4,6
6,249
249,3
3,5
5,4
4,4
4,4
4,5
5,5
5,9
9,1235
1235,8
8,5
5,5
5,5
5,4
4,4
4,3
3,7
7,5
5,5
5,4
4,8
8,4
4,4
4,4
4,4
4,5
5,5
5,5
5,101
101,6
6,1191
1191,5
5,7
7,5
5,5
5,5
5,1631
1631,4
4,2
2,535
535,6
6,7
7,3
3,4
4,12
12,3
3,5
5,2
2,5
5,82
82,5
5,7
7,9
9,1327
1327,6
6,4
4,4
4,7
7,3
3,817
817,4
4,6
6,5
5,6
6,6
6,4
4,3
3,5
5,11
11,4
4,4
4,381
381,8
8,3
3,4
4,4
4,5
5,6
6,5
5,6
6,7
7,5
5,3
3,5
5,7
7,5
5,5
5,4
4,796
796,5
5,4
4,5
5,5
5,5
5,127
127,4
4,566
566,5
5,5
5,4
4,5
5,5
5,8
8,4
4,3
3,4
4,4
4,8
8,4
4,516
516,6
6,2005
2005,11
11,5
5,5
5,359
359,5
5,5
5,5
5,5
5,5
5,6
6,595
595,7
7,4
4,4
4,3
3,2
2,7
7,5
5,3
3,3
3,2
2,7
7,4
4,5
5,7
7,6
6,9
9,5
5,6
6,36
36,7
7,1630
1630,15
15,6
6,5
5,6
6,1513
1513,3
3,5
5,5
5,6
6,5
5,4
4,4
4,6
6,5
5,5
5,3
3,5
5,5
5,6
6,4
4,4
4,3
3,7
7,6
6,5
5,5
5,4
4,6
6,5
5,4
4,4
4,3
3,184
184,6
6,5
5,5
5,8
8,4
4,6
6,3
3,5
5,900
900,4
4,3
3,280
280,4
4,3
3,4
4,3
3,4
4,3
3,4
4,4
4,4
4,4
4,3
3,54
54,134
134,748
748,4
4,5
5,4
4,5
5,5
5,4
4,5
5,4
4,3
3,6
6,6
6,4
4,4
4,4
4,5
5,4
4,5
5,5
5,4
4,5
5,29
29,4
4,5
5,6
6,5
5,5
5,41
41,4
4,6
6,5
5,5
5,5
5,4
4,4
4,5
5,6
6,6
6,3
3,4
4,6
6,3
3,26
26,3
3,10
10,18
18,3
3,4
4,7
7,5
5,21
21,387
387,3
3,2
2,561
561,7
7,2
2,6
6,8
8,9
9,6
6,3
3,5
5,8
8,6
6,7
7,6
6,4
4,4
4,2
2,2
2,5
5,4
4,4
4,5
5,6
6,6
6,7
7,3
3,5
5,4
4,107
107,6
6,4
4,4
4,4
4,5
5,8
8,6
6,3
3,7
7,5
5,3070
3070,12
12,2830
2830,298
298,6
6,6
6,7
7,5
5,4
4,3
3,7
7,732
732,3
3,4
4,17
17,5
5,5
5,3
3,5
5,3
3,3
3,5
5,3
3,2
2,3
3,5
5,6
6,5
5,18
18,4
4,4
4,5
5,3
3,4
4,4
4,39
39,603
603,7
