post,pre
1488,855
855,46
46,78
78,48
48,62
62,63
63,75
75,66
66,86
86,72
72,99
99,783
783,94
94,119
119,82
82,68
68,91
91,105
105,91
91,844
844,156
156,64
64,65
65,68
68,71
71,80
80,88
88,1353
1353,1395
1395,1243
1243,83
83,1463
1463,94
94,1476
1476,1140
1140,58
58,66
66,74
74,14
14,78
78,1155
1155,134
134,142
142,2707
2707,123
123,64
64,1088
1088,175
175,68
68,115
115,996
996,84
84,115
115,81
81,94
94,1039
1039,149
149,114
114,131
131,38
38,974
974,71
71,232
232,1085
1085,121
121,83
83,76
76,11
11,5
5,1
1,11
11,60
60,99
99,76
76,1037
1037,239
239,135
135,69
69,1130
1130,68
68,115
115,120
120,990
990,242
242,20
20,85
85,61
61,1131
1131,36
36,42
42,132
132,93
93,1261
1261,106
106,5
5,8
8,59
59,970
970,112
112,67
67,3
3,3
3,2
2,2
2,2
2,8
8,17
17,284
284,1004
1004,119
119,81
81,117
117,79
79,2342
2342,133
133,86
86,259
259,1034
1034,88
88,89
89,93
93,84
84,101
101,914
914,78
78,59
59,38
38,261
261,95
95,1023
1023,78
78,72
72,65
65,66
66,99
99,1118
1118,34
34,83
83,91
91,111
111,948
948,171
171,55
55,89
89,80
80,97
97,2784
2784,75
75,74
74,1248
1248,86
86,94
94,1104
1104,261
261,103
103,1142
1142,42
42,76
76,30
30,32
32,75
75,970
970,4
4,2
2,2
2,5
5,3
3,4
4,12
12,5
5,89
89,1106
1106,393
393,101
101,83
83,2580
2580,114
114,95
95,221
221,1063
1063,3
3,2
2,2
2,2
2,2
2,3
3,2
2,2
2,2
2,2
2,2
2,7
7,7
7,37
37,64
64,59
59,19
19,84
84,805
805,52
52,40
40,3
3,4
4,2
2,2
2,2
2,2
2,6
6,2
2,45
45,78
78,60
60,51
51,91
91,84
84,61
61,68
68,925
925,171
171,77
77,78
78,144
144,8
8,3
3,7
7,1104
1104,84
84,84
84,91
91,100
100,1016
1016,40
40,59
59,94
94,100
100,75
75,58
58,2463
2463,96
96,105
105,92
92,75
75,151
151,629
629,95
95,78
78,95
95,126
126,68
68,25
25,34
34,52
52,15
15,32
32,54
54,50
50,110
110,767
767,71
71,52
52,67
67,51
51,66
66,58
58,63
63,55
55,56
56,55
55,50
50,783
783,93
93,63
63,50
50,61
61,52
52,90
90,245
245,890
890,64
64,61
61,59
59,56
56,59
59,70
70,71
71,104
104,883
883,65
65,63
63,88
88,64
64,74
74,109
109,91
91,2535
2535,115
115,99
99,1154
1154,89
89,131
131,1078
1078,304
304,1240
1240,95
95,6050
6050,1049
1049,81
81,74
74,180
180,3
3,2
2,3
3,2
2,3
3,3
3,3
3,2
2,2
2,1
1,2
2,7
7,1100
1100,131
131,65
65,99
99,117
117,869
869,237
237,112
112,89
89,76
76,1199
1199,70
70,152
152,1040
1040,174
174,100
100,64
64,95
95,2477
2477,110
110,250
250,2529
2529,80
80,84
84,102
102,114
114,1421
1421,977
977,131
131,196
196,123
123,1097
1097,115
115,63
63,101
101,90
90,2655
2655,100
100,84
84,1125
1125,69
69,140
140,80
80,1201
1201,106
106,70
70,96
96,1005
1005,61
61,72
72,154
154,107
107,78
78,878
878,183
183,105
105,86
86,88
88,66
66,1233
1233,74
74,90
90,2769
2769,95
95,87
87,996
996,68
68,89
89,27
27,29
29,127
127,34
34,70
70,84
84,78
78,838
838,23
23,145
145,94
94,81
81,63
63,976
976,105
105,88
88,74
74,92
92,89
89,1094
1094,73
73,80
80,155
155,76
76,987
987,38
38,26
26,87
87,86
86,1561
1561,1130
1130,81
81,301
301,1071
1071,74
74,69
69,126
126,80
80,1058
1058,149
149,2
2,2
2,2
2,3
3,2
2,2
2,2
2,2
2,2
2,3
3,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,3
3,2
2,5
5,38
38,169
169,1072
1072,76
76,76
76,140
140,1187
1187,102
102,126
126,1253
1253,108
108,89
89,91
91,2509
2509,198
198,180
180,1071
1071,111
111,173
173,101
101,954
954,53
53,80
80,98
98,92
92,96
96,995
995,104
104,169
169,127
127,104
104,1054
1054,83
83,55
55,8
8,56
56,1
1,2
2,1
1,1
1,6
6,33
33,137
137,803
803,175
175,83
83,81
81,270
270,2604
2604,146
146,1284
1284,18
18,24
24,23
23,11
11,73
73,9
9,2
2,3
3,2
2,2
2,4
4,9
9,8
8,110
110,63
63,851
851,11
11,97
97,188
188,29
29,128
128,87
87,966
966,87
87,79
79,65
65,117
117,90
90,992
992,115
115,183
183,50
50,79
79,1062
1062,104
104,89
89,63
63,120
120,2845
2845,1099
1099,81
81,43
43,70
70,89
89,4
4,3
3,3
3,2
2,2
2,7
7,6
6,15
15,30
30,1041
1041,219
219,174
174,763
763,82
82,220
220,222
222,100
100,1043
1043,68
68,98
98,139
139,82
82,1224
1224,69
69,102
102,94
94,2740
2740,142
142,71
71,971
971,63
63,62
62,71
71,186
186,972
972,133
133,59
59,80
80,238
238,1017
1017,108
108,61
61,104
104,123
123,1387
1387,1267
1267,254
254,2443
2443,252
252,1422
1422,115
115,1085
1085,105
105,50
50,137
137,66
66,1045
1045,112
112,147
147,100
100,79
79,1066
1066,92
92,113
113,44
44,26
26,9
9,5
5,26
26,43
43,1015
1015,76
76,114
114,78
78,1198
1198,1449
1449,172
172,340
340,994
994,94
94,105
105,51
51,88
88,1021
1021,152
152,64
64,87
87,115
115,1016
1016,93
93,220
220,1178
1178,126
126,143
143,59
59,1157
1157,2839
2839,413
413,1079
1079,133
133,101
101,66
66,1345
